_id,lang,tln,cc,loc,p,tlt,plt,t,cr,acr,pln,flrs,f,uid
914296202912395264,en,79.85894,IN,san,1wwwewewert,29.56461,29.56461,"RT @lacasadesonia: Mayor Navarro of Loiza,near San Juan, said residents showing signs of Dengue fever, Zika virus&amp;contagious conjuncti… ",2017-09-30T19:39:36Z,2009-11-04T14:57:25Z,79.85894,1066,1e222211,87524465
909115171133587463,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"RT @BittuSahgal: Rewilding India will bring carbon down from the atmosphere, reduce floods &amp; droughts. Tiger forests feed 600 rivers https:…",2017-09-16T12:32:01Z,2010-03-22T08:30:56Z,76.97021,2347,1e222211,125339572
910003878451585026,en,71.5,IN,gujarat,1wwwewewert,22.85,22.85,"RT @Khalsa_Aid: #GujaratFloods 
When the floods devastated Gujarat in 2016 &amp; 2017 our Khalsa Aid India based volunteers were there… ",2017-09-18T23:23:26Z,2008-02-23T07:12:52Z,71.5,2141,1e222211,13862552
917171941059870720,en,79.86849,IN,thala,1wwwewewert,29.6654,29.6654,RT @BillaVeriyan: Heard @ikamalhaasan got dengue fever &amp; he got old too @shankarshanmugh pls cast Thala for #Indian2 .u can break all India…,2017-10-08T18:06:45Z,2014-01-07T13:05:12Z,79.86849,563,1e222211,2281005924
914959052727361538,en,79.17543,IN,havelian,1wwwewewert,27.21535,27.21535,"RT @HealthKPGovt: #HealthKP sessions continue in UCs Nawashehr,Havelian,bakote,Berote, Sherwan &amp; thathi Ahmad khan.
of Abbotabad reg… ",2017-10-02T15:33:31Z,2013-05-28T13:49:05Z,79.17543,2978,1e222211,1465453980
907792246426226688,en,74,IN,maharashtra,1wwwewewert,18,18,RT @IndianExpress: Five people have died so far in rain-related incidents this year in Maharashtra. https://t.co/wgz3qzpcpW,2017-09-12T20:55:12Z,2015-04-09T14:54:09Z,74,143,1e222211,3146529600
910948555254312965,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"24 new dengue cases in state, first death in Kumaon - Times of India https://t.co/UdhfQFc2Fb",2017-09-21T13:57:14Z,2015-05-17T05:28:15Z,76.97021,824,1e222211,3201159115
916660411981639680,en,78,IN,kerala,1wwwewewert,11,11,"RT @ShankhNaad: Crowns of #Kerala

Crime Capital
Dengue Capital
#LoveJihad Capital
Mass Conversion Capital
ISIS Capital
Rape Hub

S… ",2017-10-07T08:14:07Z,2010-03-11T01:18:50Z,78,57,1e222211,121986228
917044474278219776,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"Rockets not flying, floods in north and now disapperance if drugs r all due to mice in india.",2017-10-08T09:40:15Z,2013-10-02T19:37:58Z,76.97021,27,1e222211,1928807756
915589017386782720,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,#India - 300 Died Of Dengue In Kerala: Yogi Adityanath Hits Back After CPMs Hospital Barb… https://t.co/zLnVGiBEsf,2017-10-04T09:16:47Z,2009-07-05T20:27:06Z,76.97021,532,1e222211,54075293
918066503622172672,en,93.40847,IN,kaziranga,1wwwewewert,26.58925,26.58925,"RT @CMOfficeAssam: As a recognition for his wildlife rescue &amp; relief efforts during floods in Kaziranga, CM also honoured Khumtai MLA… ",2017-10-11T05:21:25Z,2017-06-27T22:15:12Z,93.40847,31,1e222211,879908515959255041
915139361313656833,en,79.75,IN,puducherry,1wwwewewert,11.91667,11.91667,RT @thekiranbedi: Clearing up drive by Municipalities in the wake of 700% increase in Dengue cases in Puducherry compared to last yea… ,2017-10-03T03:30:00Z,2015-03-07T05:09:55Z,79.75,682,1e222211,3066400088
909477081645432832,en,83.40232,IN,nepal,1wwwewewert,26.49976,26.49976,"RT @BaltejAulakh: @akhandABVP @hstapanghosh Khalsa Aid also helped people during Bihar Floods, Chennai Floods, Earthquake in Nepal. How wil…",2017-09-17T12:30:08Z,2013-05-04T19:17:55Z,83.40232,140,1e222211,1403751097
913758020370345984,en,72.83333,IN,santa cruz,1wwwewewert,19.08333,19.08333,"RT @sanjuanlav: Heavy equipment and crews continue with clean up efforts at Sam Boucaud, Santa Cruz after the floods today",2017-09-29T08:01:03Z,2015-08-07T16:23:12Z,72.83333,65,1e222211,3309131935
916365596580876288,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,RT @CW_dynastycrook: Kerala now accounts for 45% of Indias GDP (Gross Dengue Production). Huge Congratulations to CM Pinarayi Vijayan!… ,2017-10-06T12:42:38Z,2011-07-29T03:41:48Z,76.97021,63,1e222211,344599841
916656520909135872,en,78,IN,kerala,1wwwewewert,11,11,"RT @ShankhNaad: Crowns of #Kerala

Crime Capital
Dengue Capital
#LoveJihad Capital
Mass Conversion Capital
ISIS Capital
Rape Hub

S… ",2017-10-07T07:58:39Z,2010-05-14T22:46:51Z,78,9271,1e222211,144044740
917020403914104833,en,82.22467,IN,sri,1wwwewewert,26.22267,26.22267,"RT @SriLankaTweet: Clean Ur places as #Dengue Fever will rise with Rain in #SriLanka,
So far this year 157,133 Cases &amp; 382 Deaths… ",2017-10-08T08:04:36Z,2012-02-22T00:36:03Z,82.22467,50,1e222211,499514481
909960212064473088,en,75.06272,IN,manila,1wwwewewert,12.67467,12.67467,TYPHOON NEWS: Manila floods as tropical depression slams Philippines - https://t.co/Emz1292tA7 https://t.co/sRNO51Q0ZU,2017-09-18T20:29:55Z,2012-09-01T18:46:28Z,75.06272,1270,1e222211,797145456
909020637640962048,en,88.37368,IN,kolkata,1wwwewewert,22.54733,22.54733,Platelet crisis hits Kolkata in peak dengue season - Times of India https://t.co/t8gZe9qt1G #Kolkata,2017-09-16T06:16:23Z,2014-08-25T11:33:53Z,88.37368,8823,1e222211,2767073305
909333329375137793,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,RT @PowerLedger_io: Find out more about how useful #solar #energy came during recent floods in India https://t.co/IXVwkf8NLE… ,2017-09-17T02:58:54Z,2016-09-17T03:18:39Z,76.97021,1169,1e222211,777066724940066816
913431835744468997,en,81.57507,IN,delhi,1wwwewewert,24.6444,24.6444,"Every citizen of Delhi will Fight the #Dengue #Chikungunya menace. Delhi Govt awareness video

 https://t.co/S4kaSmerCJ",2017-09-28T10:24:55Z,2012-07-02T01:30:47Z,81.57507,24878,1e222211,624443638
