_id,lang,tln,cc,loc,p,tlt,plt,t,cr,acr,pln,flrs,f,uid
910869635918155776,en,,,,,,,RT @InSpiteOfTrump: Our island destroyed by largest storm in 90 years as flash floods continue across Puerto Rico https://t.co/oNRDHJg5x4,2017-09-21T08:43:38Z,2011-01-05T16:51:23Z,,819,,234536971
910587434311680000,en,,,,,,,@HillaryClinton Its shameful &amp; even worse is that theyre trying to push this through quick while everyone is payi… https://t.co/BIO9Cw3VI8,2017-09-20T14:02:16Z,2017-01-10T01:25:15Z,,19,,818712793566232576
918162605243621378,en,,,,,,,"#ProKabaddi2017  
BiteFree Double Bed 6x6 Feet Mosquito Net GOOD QUALITY #dengue  
 
 Rs230… https://t.co/1lNj4KM59W",2017-10-11T11:43:18Z,2017-10-06T08:24:37Z,,0,,916300666171043840
916960881950388224,en,,,,,,,GOLDEN NUGGET FLOODS... https://t.co/ijFvQdWBRo,2017-10-08T04:08:05Z,2016-07-21T08:41:01Z,,666,,756129356850749440
909236051515891712,en,,,,,,,"Dems correcting claim that Obama played golf during Katrina, not pointing out its true, but it was Sandy: https://t.co/2NQ7uUjSyM … …",2017-09-16T20:32:22Z,2015-05-26T17:09:00Z,,538,,3227662573
908106828818522112,en,,,,,,,DR tips for floods and hurricanes https://t.co/a1Mt0S82QN https://t.co/5nBfq04mFK,2017-09-13T17:45:14Z,2008-12-10T06:15:32Z,,288,,18017407
914895018258812928,en,,,,,,,@nytimes Are you kidding? He is KILLING her people &amp; insulting her work ethic while she wades through floods to hel… https://t.co/wIpf7bK7pL,2017-10-02T11:19:04Z,2009-09-26T11:57:38Z,,185,,77526237
917223153578987522,en,,,,,,,"RT @Zebi_Afridi: #DengueLeague
As khizar hayat the leader of PMLN in KP is spreading the Dengue mosquito in Peshawar must be ??",2017-10-08T21:30:15Z,2014-01-08T10:53:35Z,,12907,,2282361900
912351720205844480,en,,,,,,,"RT @SanAlva: @jbendery There is a public health crisis in progress with floods, not to mention lives @ risk. #PuertoRico needs aid NOW!",2017-09-25T10:52:55Z,2010-11-23T02:45:16Z,,593,,218787717
918326988498141184,en,,,,,,,RT @roadchickie: Never forget that the @GOP &amp;*@realDonaldTrump are ultimately responsible for the death of this American &amp; others in… ,2017-10-11T22:36:30Z,2016-07-24T18:03:55Z,,918,,757358178044678144
911414449222721536,en,,,,,,,this is so horrifying i hope the people are all safe 😭💖 https://t.co/1QRlFGePHs,2017-09-22T20:48:32Z,2016-08-15T21:39:26Z,,91,,765384946663895041
918155187470176262,en,,,,,,,RT @Kawiria: The replies! 🤣🤣🤣 But these were the seeds that fell on good soil. The harvest is now plentiful. https://t.co/Ky6w5OfKpM,2017-10-11T11:13:49Z,2014-06-12T08:15:46Z,,921,,2563442006
